code,name,latitude,longitude
NUQ,Nagar Untari Railway Station,24.2851849,83.5133962
WDM,Wyndhamganj Railway Station,24.2633213,83.4013795
DXN,Duddhinagar Railway Station,24.208815,83.2165622
RNQ,Renukut Railway Station,24.2034487,83.0398362
CPU,Chopan Railway Station,24.5135306,83.0266271
SGRL,Singrauli Railway Station,24.2047095,82.6430039
BRGW,Bargawan Railway Station,24.1972908,82.4564005
SGAM,Sareigram Railway Station,24.039636,82.205614
MWJ,Marwasgram Railway Station,24.0970055,81.7754379
BEHR,Beohari Railway Station,24.0006286,81.3800036
VST,Bijaysota Railway Station,23.978724,81.11095900000001
KHBJ,Khanna Banjari Railway Station,23.8966973,80.8222814
KTES,Katni South Railway Station,23.8167057,80.4008897
SHR,Sihora Road Railway Station,23.467026,80.1099451
