station,week,month,month_3,month_6,year,train_number,station_code
BORIVALI (BVI),6,6,6,5,5,9622,BVI
VAPI (VAPI),28,30,30,30,26,9622,VAPI
SURAT (ST),18,33,44,38,34,9622,ST
VADODARA JN (BRC),46,43,53,44,34,9622,BRC
RATLAM JN (RTM),6,9,7,6,9,9622,RTM
BHAWANI MANDI (BWM),0,6,2,2,4,9622,BWM
RAMGANJ MANDI (RMA),0,7,2,2,4,9622,RMA
KOTA JN (KOTA),0,3,4,3,5,9622,KOTA
SAWAI MADHOPUR (SWM),0,7,2,4,3,9622,SWM
JAIPUR (JP),2,31,21,19,14,9622,JP
KISHANGARH (KSG),0,3,10,8,5,9622,KSG
AJMER JN (AII),24,17,14,12,15,9622,AII
DAHAR KA BALAJI (DKBJ),0,0,2,1,1,9715,DKBJ
JAIPUR (JP),3,6,6,6,6,9715,JP
DURGAPURA (DPA),10,11,9,8,8,9715,DPA
SAWAI MADHOPUR (SWM),9,8,12,13,13,9715,SWM
KOTA JN (KOTA),10,13,13,18,16,9715,KOTA
RAMGANJ MANDI (RMA),10,9,13,19,18,9715,RMA
NAGDA JN (NAD),2,2,10,14,14,9715,NAD
UJJAIN JN (UJN),2,5,15,21,22,9715,UJN
SHUJALPUR (SJP),21,6,13,19,18,9715,SJP
BHOPAL JN (BPL),77,70,57,54,45,9715,BPL
ITARSI JN (ET),148,135,111,98,87,9715,ET
NAGPUR (NGP),148,172,150,137,114,9715,NGP
BALHARSHAH (BPQ),206,184,154,133,104,9715,BPQ
SIRPUR KAGAZNGR (SKZR),206,184,159,132,102,9715,SKZR
WARANGAL (WL),253,217,228,170,126,9715,WL
KHAMMAM (KMT),268,249,256,209,175,9715,KMT
VIJAYAWADA JN (BZA),285,279,317,260,217,9715,BZA
NELLORE (NLR),278,290,329,275,228,9715,NLR
GUDUR JN (GDR),290,308,336,277,232,9715,GDR
RENIGUNTA JN (RU),320,326,349,302,252,9715,RU
TIRUPATI (TPTY),280,303,328,287,282,9715,TPTY
JAIPUR (JP),4,4,5,6,4,9721,JP
PHULERA JN (FL),8,9,11,11,8,9721,FL
KISHANGARH (KSG),7,7,8,8,5,9721,KSG
AJMER JN (AII),10,11,12,11,9,9721,AII
NASIRABAD (NSD),9,10,11,11,9,9721,NSD
BIJAINAGAR (BJNR),12,15,19,17,11,9721,BJNR
BHILWARA (BHL),6,10,13,12,10,9721,BHL
CHANDERIYA (CNA),1,1,4,4,6,9721,CNA
KAPASAN (KIN),6,7,10,10,7,9721,KIN
MAVLI JN (MVJ),8,11,13,13,8,9721,MVJ
RANAPRATAPNAGAR (RPZ),1,5,7,7,7,9721,RPZ
UDAIPUR CITY (UDZ),19,15,13,13,17,9721,UDZ
UDAIPUR CITY (UDZ),1,1,1,2,2,9722,UDZ
RANAPRATAPNAGAR (RPZ),2,2,2,3,4,9722,RPZ
MAVLI JN (MVJ),4,5,5,7,6,9722,MVJ
KAPASAN (KIN),5,5,5,7,7,9722,KIN
CHANDERIYA (CNA),1,2,2,4,3,9722,CNA
BHILWARA (BHL),7,6,5,7,8,9722,BHL
BIJAINAGAR (BJNR),6,6,6,8,8,9722,BJNR
NASIRABAD (NSD),7,10,14,15,9,9722,NSD
AJMER JN (AII),2,2,4,7,5,9722,AII
KISHANGARH (KSG),5,4,6,8,5,9722,KSG
PHULERA JN (FL),18,14,16,16,14,9722,FL
JAIPUR (JP),0,1,1,1,2,9722,JP
JAIPUR (JP),1,4,2,1,2,9723,JP
KISHANGARH (KSG),0,1,2,1,2,9723,KSG
AJMER JN (AII),6,6,4,3,4,9723,AII
NASIRABAD (NSD),5,4,3,5,6,9723,NSD
BIJAINAGAR (BJNR),4,9,9,11,10,9723,BJNR
MANDAL (MDL),13,17,16,14,12,9723,MDL
BHILWARA (BHL),7,10,10,9,8,9723,BHL
CHITTAURGARH (COR),4,4,3,6,6,9723,COR
NIMACH (NMH),6,13,10,12,18,9723,NMH
MANDASOR (MDS),27,25,21,19,23,9723,MDS
RATLAM JN (RTM),2,2,2,5,8,9723,RTM
VADODARA JN (BRC),1,21,21,18,22,9723,BRC
SURAT (ST),1,2,2,3,6,9723,ST
VAPI (VAPI),38,21,25,19,16,9723,VAPI
BORIVALI (BVI),38,19,51,40,32,9723,BVI
BANDRA TERMINUS (BDTS),35,19,233,133,97,9723,BDTS
BANDRA TERMINUS (BDTS),0,0,4,3,3,9724,BDTS
BORIVALI (BVI),17,12,13,11,9,9724,BVI
VAPI (VAPI),16,18,18,16,14,9724,VAPI
SURAT (ST),16,12,17,14,12,9724,ST
VADODARA JN (BRC),16,22,27,29,20,9724,BRC
RATLAM JN (RTM),28,13,17,18,14,9724,RTM
MANDASOR (MDS),20,9,19,23,18,9724,MDS
NIMACH (NMH),14,8,18,19,14,9724,NMH
CHITTAURGARH (COR),14,4,10,11,6,9724,COR
BHILWARA (BHL),19,17,22,17,13,9724,BHL
MANDAL (MDL),24,20,25,20,16,9724,MDL
BIJAINAGAR (BJNR),10,7,13,11,10,9724,BJNR
NASIRABAD (NSD),10,8,9,9,6,9724,NSD
AJMER JN (AII),0,1,6,6,4,9724,AII
KISHANGARH (KSG),0,0,5,6,4,9724,KSG
JAIPUR (JP),1,4,6,5,6,9724,JP
C SHIVAJI TERM MUMBAI (CSMT),3,5,15,20,16,10103,CSMT
DADAR (DR),9,12,21,25,19,10103,DR
THANE (TNA),5,9,19,24,18,10103,TNA
PANVEL (PNVL),15,18,29,35,27,10103,PNVL
MANGAON (MNI),3,7,18,23,16,10103,MNI
KHED (KHED),26,36,41,47,41,10103,KHED
CHIPLUN (CHI),26,40,43,51,45,10103,CHI
SANGMESHWAR (SGR),38,54,55,67,60,10103,SGR
RATNAGIRI (RN),47,56,54,69,66,10103,RN
ADAVALI (ADVI),50,59,64,77,75,10103,ADVI
RAJAPUR ROAD (RAJP),48,61,67,79,73,10103,RAJP
VAIBHAVWADI RD (VBW),50,63,72,83,74,10103,VBW
KANKAVALI (KKW),61,73,80,91,81,10103,KKW
SINDHUDURG (SNDD),63,74,82,93,82,10103,SNDD
KUDAL (KUDL),62,73,83,94,83,10103,KUDL
SAWANTWADI ROAD (SWV),59,67,73,84,73,10103,SWV
PERNEM (PERN),37,53,66,76,70,10103,PERN
THIVIM (THVM),39,54,68,80,76,10103,THVM
KARMALI (KRMI),39,53,71,83,77,10103,KRMI
MADGAON (MAO),1,14,38,46,34,10103,MAO
MADGAON (MAO),2,2,2,3,4,10104,MAO
KARMALI (KRMI),23,24,27,30,30,10104,KRMI
THIVIM (THVM),23,24,28,31,32,10104,THVM
PERNEM (PERN),25,26,30,34,36,10104,PERN
SAWANTWADI ROAD (SWV),31,30,32,36,37,10104,SWV
KUDAL (KUDL),29,32,35,40,41,10104,KUDL
SINDHUDURG (SNDD),30,38,42,46,48,10104,SNDD
KANKAVALI (KKW),43,47,53,54,54,10104,KKW
VAIBHAVWADI RD (VBW),52,58,63,64,62,10104,VBW
RAJAPUR ROAD (RAJP),49,56,60,63,63,10104,RAJP
ADAVALI (ADVI),29,33,38,44,47,10104,ADVI
RATNAGIRI (RN),20,25,32,34,31,10104,RN
SANGMESHWAR (SGR),25,31,36,39,37,10104,SGR
CHIPLUN (CHI),25,34,38,42,42,10104,CHI
KHED (KHED),22,31,35,41,41,10104,KHED
MANGAON (MNI),23,31,36,43,43,10104,MNI
PANVEL (PNVL),26,27,35,39,36,10104,PNVL
THANE (TNA),23,22,30,34,33,10104,TNA
DADAR (DR),25,22,28,33,29,10104,DR
C SHIVAJI TERM MUMBAI (CSMT),11,9,13,17,17,10104,CSMT
MADGAON (MAO),10,12,22,16,15,10215,MAO
KARWAR (KAWR),13,15,21,18,16,10215,KAWR
BHATKAL (BTJL),20,26,39,31,22,10215,BTJL
UDUPI (UD),21,25,43,40,44,10215,UD
MANGALORE JN (MAJN),3,3,28,24,28,10215,MAJN
KASARAGOD (KGQ),24,14,33,28,30,10215,KGQ
KANNUR (CAN),38,12,28,25,27,10215,CAN
KOZHIKODE (CLT),40,15,39,35,34,10215,CLT
TIRUR (TIR),44,20,50,43,40,10215,TIR
SHORANUR JN (SRR),14,3,29,25,21,10215,SRR
THRISUR (TCR),23,14,33,26,21,10215,TCR
ALUVA (AWY),24,23,32,26,23,10215,AWY
ERNAKULAM JN (ERS),0,2,9,6,0,10215,ERS
ERNAKULAM JN (ERS),1,0,11,6,3,10216,ERS
ALUVA (AWY),3,4,16,11,9,10216,AWY
THRISUR (TCR),3,6,17,13,12,10216,TCR
SHORANUR JN (SRR),5,5,14,13,13,10216,SRR
TIRUR (TIR),6,5,16,14,15,10216,TIR
KOZHIKODE (CLT),4,8,17,15,15,10216,CLT
KANNUR (CAN),6,15,23,18,16,10216,CAN
KASARAGOD (KGQ),11,17,27,23,22,10216,KGQ
MANGALORE JN (MAJN),0,2,16,16,24,10216,MAJN
UDUPI (UD),2,13,24,23,25,10216,UD
BHATKAL (BTJL),8,21,32,34,31,10216,BTJL
KARWAR (KAWR),25,36,58,55,42,10216,KAWR
MADGAON (MAO),6,1,20,16,14,10216,MAO
DADAR (DR),0,0,1,1,5,11003,DR
THANE (TNA),1,1,1,3,5,11003,TNA
PANVEL (PNVL),16,13,12,16,16,11003,PNVL
MANGAON (MNI),4,3,4,7,10,11003,MNI
VEER (VEER),6,8,9,10,12,11003,VEER
KHED (KHED),9,18,16,16,17,11003,KHED
CHIPLUN (CHI),14,24,21,24,25,11003,CHI
SAVARDA (SVX),16,27,23,27,30,11003,SVX
ARAVALI ROAD (AVRD),24,32,27,32,34,11003,AVRD
SANGMESHWAR (SGR),46,49,42,48,46,11003,SGR
RATNAGIRI (RN),40,51,40,46,47,11003,RN
ADAVALI (ADVI),48,59,51,56,54,11003,ADVI
VILAVADE (VID),46,60,52,57,55,11003,VID
RAJAPUR ROAD (RAJP),48,63,56,60,56,11003,RAJP
VAIBHAVWADI RD (VBW),58,68,59,64,60,11003,VBW
KANKAVALI (KKW),67,76,67,70,65,11003,KKW
SINDHUDURG (SNDD),68,77,69,72,67,11003,SNDD
KUDAL (KUDL),59,69,61,65,63,11003,KUDL
SAWANTWADI ROAD (SWV),7,19,29,30,34,11003,SWV
SAWANTWADI ROAD (SWV),0,1,3,6,7,11004,SWV
KUDAL (KUDL),7,13,11,13,15,11004,KUDL
SINDHUDURG (SNDD),21,25,19,22,22,11004,SNDD
KANKAVALI (KKW),25,28,23,26,27,11004,KKW
VAIBHAVWADI RD (VBW),31,32,29,33,32,11004,VBW
RAJAPUR ROAD (RAJP),32,34,30,34,35,11004,RAJP
VILAVADE (VID),30,35,30,33,32,11004,VID
ADAVALI (ADVI),34,45,38,39,38,11004,ADVI
RATNAGIRI (RN),40,56,50,45,37,11004,RN
SANGMESHWAR (SGR),43,55,49,46,44,11004,SGR
ARAVALI ROAD (AVRD),47,60,57,53,50,11004,AVRD
SAVARDA (SVX),53,65,61,57,54,11004,SVX
CHIPLUN (CHI),69,84,78,73,69,11004,CHI
KHED (KHED),54,68,65,63,65,11004,KHED
VEER (VEER),41,53,48,48,49,11004,VEER
MANGAON (MNI),40,50,46,47,49,11004,MNI
PANVEL (PNVL),10,11,13,14,15,11004,PNVL
THANE (TNA),0,1,4,7,9,11004,TNA
DADAR (DR),11,9,11,3,2,11004,DR
C SHIVAJI TERM MUMBAI (CSMT),1,1,1,2,3,11007,CSMT
DADAR (DR),3,3,3,4,5,11007,DR
THANE (TNA),3,3,3,4,5,11007,TNA
KALYAN JN (KYN),10,12,12,13,12,11007,KYN
NERAL (NRL),11,16,16,18,18,11007,NRL
LONAVALA (LNL),10,15,16,18,19,11007,LNL
TALEGAON (TGN),7,11,12,15,17,11007,TGN
KHADKI (KK),8,13,15,17,19,11007,KK
SHIVAJINAGAR (SVJR),7,12,13,16,18,11007,SVJR
PUNE JN (PUNE),4,9,10,10,11,11007,PUNE
PUNE JN (PUNE),1,1,1,1,2,11008,PUNE
SHIVAJINAGAR (SVJR),1,3,3,4,4,11008,SVJR
KHADKI (KK),3,5,5,6,5,11008,KK
TALEGAON (TGN),3,5,6,8,6,11008,TGN
LONAVALA (LNL),8,10,14,15,13,11008,LNL
KALYAN JN (KYN),24,26,29,32,29,11008,KYN
THANE (TNA),24,26,29,31,29,11008,TNA
DADAR (DR),22,25,29,29,26,11008,DR
C SHIVAJI TERM MUMBAI (CSMT),14,14,15,16,13,11008,CSMT
C SHIVAJI TERM MUMBAI (CSMT),1,1,1,1,2,11009,CSMT
DADAR (DR),2,2,3,3,3,11009,DR
THANE (TNA),4,2,3,4,4,11009,TNA
KALYAN JN (KYN),11,8,8,9,8,11009,KYN
KARJAT (KJT),24,21,21,22,21,11009,KJT
LONAVALA (LNL),16,15,17,18,18,11009,LNL
CHINCHVAD (CCH),19,18,22,24,22,11009,CCH
PIMPRI (PMP),20,19,23,24,23,11009,PMP
KHADKI (KK),22,21,24,26,24,11009,KK
SHIVAJINAGAR (SVJR),16,16,19,21,19,11009,SVJR
PUNE JN (PUNE),4,6,8,9,9,11009,PUNE
PUNE JN (PUNE),0,1,1,4,2,11010,PUNE
SHIVAJINAGAR (SVJR),4,3,4,5,4,11010,SVJR
KHADKI (KK),5,4,4,6,5,11010,KK
PIMPRI (PMP),5,5,5,8,5,11010,PMP
CHINCHVAD (CCH),7,6,7,9,6,11010,CCH
LONAVALA (LNL),6,7,10,11,9,11010,LNL
KARJAT (KJT),10,11,14,16,13,11010,KJT
KALYAN JN (KYN),10,14,16,18,18,11010,KYN
DADAR (DR),8,12,18,16,16,11010,DR
C SHIVAJI TERM MUMBAI (CSMT),11,10,16,16,14,11010,CSMT
LOKMANYATILAK T (LTT),0,1,4,7,14,11013,LTT
THANE (TNA),5,4,7,10,18,11013,TNA
KALYAN JN (KYN),4,10,12,16,23,11013,KYN
PUNE JN (PUNE),13,19,25,36,41,11013,PUNE
KURDUVADI (KWV),24,20,27,40,46,11013,KWV
SOLAPUR JN (SUR),24,20,27,38,50,11013,SUR
DUDHANI (DUD),29,23,32,43,54,11013,DUD
GANAGAPUR ROAD (GUR),32,24,35,47,57,11013,GUR
KALABURAGI JN (KLBG),28,20,31,44,55,11013,KLBG
SHAHABAD (SDB),25,19,30,42,54,11013,SDB
WADI (WADI),9,7,14,24,36,11013,WADI
YADGIR (YG),4,5,9,18,36,11013,YG
KRISHNA (KSN),20,23,26,35,53,11013,KSN
RAICHUR (RC),17,18,22,31,51,11013,RC
MANTHRALAYAM RD (MALM),21,22,23,32,53,11013,MALM
ADONI (AD),18,18,19,29,50,11013,AD
GUNTAKAL JN (GTL),20,18,18,25,49,11013,GTL
ANANTAPUR (ATP),25,20,24,29,44,11013,ATP
DHARMAVARAM JN (DMM),14,9,18,21,35,11013,DMM
SAI P NILAYAM (SSPN),13,15,32,31,46,11013,SSPN
HINDUPUR (HUP),14,18,38,38,56,11013,HUP
GAURIBIDANUR (GBD),13,17,36,37,54,11013,GBD
BANGALORE EAST (BNCE),13,14,35,35,53,11013,BNCE
BANGALORE CANT (BNC),5,10,19,17,28,11013,BNC
KSR BANGALORE CY JN (SBC),0,5,9,8,20,11013,SBC
HOSUR (HSRA),25,27,24,25,38,11013,HSRA
DHARMAPURI (DPJ),55,50,43,44,57,11013,DPJ
SALEM JN (SA),13,13,19,18,29,11013,SA
ERODE JN (ED),24,22,28,28,38,11013,ED
TIRUPPUR (TUP),22,19,24,24,36,11013,TUP
COIMBATORE JN (CBE),2,4,0,0,15,11013,CBE
COIMBATORE JN (CBE),1,2,4,5,13,11014,CBE
TIRUPPUR (TUP),5,10,12,14,21,11014,TUP
ERODE JN (ED),6,11,13,15,22,11014,ED
SALEM JN (SA),11,11,12,13,21,11014,SA
DHARMAPURI (DPJ),14,20,20,25,31,11014,DPJ
HOSUR (HSRA),44,48,39,40,50,11014,HSRA
BANGALORE CANT (BNC),36,37,33,41,42,11014,BNC
KSR BANGALORE CY JN (SBC),36,38,32,33,38,11014,SBC
GAURIBIDANUR (GBD),59,67,59,60,65,11014,GBD
HINDUPUR (HUP),47,55,48,51,57,11014,HUP
SAI P NILAYAM (SSPN),31,40,34,36,44,11014,SSPN
DHARMAVARAM JN (DMM),32,37,39,38,42,11014,DMM
ANANTAPUR (ATP),29,29,36,37,51,11014,ATP
GUNTAKAL JN (GTL),44,42,43,39,44,11014,GTL
ADONI (AD),41,40,42,39,44,11014,AD
MANTHRALAYAM RD (MALM),33,33,34,32,38,11014,MALM
RAICHUR (RC),37,33,33,31,38,11014,RC
YADGIR (YG),37,33,32,31,39,11014,YG
WADI (WADI),30,22,23,22,30,11014,WADI
SHAHABAD (SDB),30,19,19,19,27,11014,SDB
KALABURAGI JN (KLBG),26,19,18,19,28,11014,KLBG
GANAGAPUR ROAD (GUR),20,17,18,20,30,11014,GUR
DUDHANI (DUD),20,19,22,25,34,11014,DUD
SOLAPUR JN (SUR),20,25,25,27,34,11014,SUR
KURDUVADI (KWV),23,30,33,33,40,11014,KWV
DAUND JN (DD),1,5,7,9,19,11014,DD
PUNE JN (PUNE),12,10,14,15,27,11014,PUNE
KALYAN JN (KYN),20,17,20,28,43,11014,KYN
THANE (TNA),21,17,20,25,40,11014,TNA
LOKMANYATILAK T (LTT),11,13,16,19,30,11014,LTT
BHUSAVAL JN (BSL),0,0,3,2,5,11025,BSL
JALGAON JN (JL),18,18,21,18,20,11025,JL
PACHORA JN (PC),36,36,38,33,35,11025,PC
KAJGAON (KJ),37,37,47,40,42,11025,KJ
CHALISGAON JN (CSN),31,31,50,46,47,11025,CSN
MANMAD JN (MMR),2,2,21,19,20,11025,MMR
LASALGAON (LS),7,7,28,25,26,11025,LS
NIPHAD (NR),6,6,28,24,26,11025,NR
NASIK ROAD (NK),5,5,30,26,28,11025,NK
KALYAN JN (KYN),8,8,41,37,39,11025,KYN
PANVEL (PNVL),16,16,33,28,28,11025,PNVL
KARJAT (KJT),33,33,46,41,41,11025,KJT
LONAVALA (LNL),21,21,36,35,36,11025,LNL
CHINCHVAD (CCH),16,16,30,30,31,11025,CCH
PUNE JN (PUNE),10,10,22,21,21,11025,PUNE
PUNE JN (PUNE),0,0,1,1,5,11026,PUNE
CHINCHVAD (CCH),5,5,7,9,11,11026,CCH
LONAVALA (LNL),6,6,13,14,16,11026,LNL
KARJAT (KJT),15,15,24,25,26,11026,KJT
PANVEL (PNVL),20,20,26,20,21,11026,PNVL
KALYAN JN (KYN),26,26,28,22,23,11026,KYN
NASIK ROAD (NK),24,24,33,29,33,11026,NK
NIPHAD (NR),40,40,41,34,39,11026,NR
LASALGAON (LS),48,48,54,43,48,11026,LS
MANMAD JN (MMR),45,45,57,49,53,11026,MMR
CHALISGAON JN (CSN),50,50,65,57,63,11026,CSN
KAJGAON (KJ),46,46,64,57,57,11026,KJ
PACHORA JN (PC),40,40,55,49,53,11026,PC
JALGAON JN (JL),41,41,55,48,51,11026,JL
BHUSAVAL JN (BSL),19,19,29,23,26,11026,BSL
DADAR (DR),0,0,1,1,1,11027,DR
THANE (TNA),0,0,1,1,1,11027,TNA
KALYAN JN (KYN),8,5,7,7,7,11027,KYN
TALEGAON (TGN),7,10,14,16,17,11027,TGN
CHINCHVAD (CCH),5,10,13,16,17,11027,CCH
PUNE JN (PUNE),6,10,12,15,15,11027,PUNE
URULI (URI),8,15,15,19,20,11027,URI
KEDGAON (KDG),11,17,20,24,24,11027,KDG
DAUND JN (DD),15,15,15,19,19,11027,DD
JEUR (JEUR),29,26,23,28,26,11027,JEUR
KEM (KEM),37,33,32,32,32,11027,KEM
KURDUVADI (KWV),43,39,39,39,38,11027,KWV
PANDHARPUR (PVR),9,2,4,5,7,11027,PVR
PANDHARPUR (PVR),0,1,1,1,0,11028,PVR
KURDUVADI (KWV),42,32,34,35,32,11028,KWV
KEM (KEM),46,42,43,43,43,11028,KEM
JEUR (JEUR),47,46,48,45,43,11028,JEUR
DAUND JN (DD),22,18,18,13,16,11028,DD
KEDGAON (KDG),10,10,10,8,12,11028,KDG
URULI (URI),11,11,12,10,13,11028,URI
PUNE JN (PUNE),13,13,17,18,20,11028,PUNE
CHINCHVAD (CCH),11,15,19,21,24,11028,CCH
TALEGAON (TGN),19,20,23,24,27,11028,TGN
KALYAN JN (KYN),20,17,23,26,28,11028,KYN
THANE (TNA),9,13,20,20,36,11028,TNA
DADAR (DR),9,9,14,15,30,11028,DR
C SHIVAJI TERM MUMBAI (CSMT),0,0,1,1,6,11029,CSMT
DADAR (DR),6,5,5,5,8,11029,DR
THANE (TNA),6,5,5,5,8,11029,TNA
KALYAN JN (KYN),13,13,13,15,16,11029,KYN
NERAL (NRL),11,12,13,15,18,11029,NRL
LONAVALA (LNL),11,13,16,20,21,11029,LNL
TALEGAON (TGN),13,13,18,22,22,11029,TGN
CHINCHVAD (CCH),12,12,17,22,22,11029,CCH
KHADKI (KK),12,11,16,22,21,11029,KK
SHIVAJINAGAR (SVJR),12,11,16,22,21,11029,SVJR
PUNE JN (PUNE),11,12,16,22,21,11029,PUNE
JEJURI (JJR),24,22,25,31,33,11029,JJR
NIRA (NIRA),27,26,29,36,36,11029,NIRA
LONAND JN (LNN),25,24,27,34,34,11029,LNN
WATHAR (WTR),26,24,28,35,32,11029,WTR
SATARA (STR),9,8,12,14,17,11029,STR
KOREGAON (KRG),12,14,17,18,20,11029,KRG
RAHIMATPUR (RMP),14,18,21,22,23,11029,RMP
MASUR (MSR),19,24,28,29,30,11029,MSR
SHIRRAVDE (SIW),20,23,27,28,30,11029,SIW
KARAD (KRD),20,24,27,27,29,11029,KRD
KIRLOSKARVADI (KOV),27,30,32,31,29,11029,KOV
BHILAVDI (BVQ),27,31,33,33,31,11029,BVQ
SANGLI (SLI),33,35,36,36,35,11029,SLI
MIRAJ JN (MRJ),27,29,32,30,28,11029,MRJ
JAYASINGPUR (JSP),31,32,33,32,28,11029,JSP
HATKANAGALE (HTK),32,33,33,33,28,11029,HTK
C SHAHUMHARAJ T (KOP),15,11,12,13,16,11029,KOP
C SHAHUMHARAJ T (KOP),1,1,1,1,1,11030,KOP
HATKANAGALE (HTK),1,1,3,4,7,11030,HTK
NIMSHIRGAON TAMDALGE (NMGT),1,1,3,4,7,11030,NMGT
JAYASINGPUR (JSP),8,8,7,8,9,11030,JSP
MIRAJ JN (MRJ),11,13,10,10,13,11030,MRJ
VISHRAMBAG (VRB),11,13,11,11,13,11030,VRB
SANGLI (SLI),14,16,13,14,15,11030,SLI
BHILAVDI (BVQ),14,17,14,15,17,11030,BVQ
KIRLOSKARVADI (KOV),14,19,16,16,19,11030,KOV
KARAD (KRD),14,17,15,13,14,11030,KRD
MASUR (MSR),17,23,19,16,18,11030,MSR
RAHIMATPUR (RMP),16,24,22,18,20,11030,RMP
KOREGAON (KRG),18,24,26,21,20,11030,KRG
SATARA (STR),19,25,28,22,19,11030,STR
WATHAR (WTR),20,27,35,25,20,11030,WTR
LONAND JN (LNN),23,29,36,26,22,11030,LNN
NIRA (NIRA),16,22,29,20,18,11030,NIRA
JEJURI (JJR),14,19,25,19,20,11030,JJR
PUNE JN (PUNE),4,6,11,9,13,11030,PUNE
SHIVAJINAGAR (SVJR),7,8,13,11,14,11030,SVJR
CHINCHVAD (CCH),5,6,12,13,15,11030,CCH
TALEGAON (TGN),7,8,13,14,12,11030,TGN
LONAVALA (LNL),2,6,14,13,13,11030,LNL
KALYAN JN (KYN),15,14,21,21,22,11030,KYN
THANE (TNA),14,14,20,20,22,11030,TNA
DADAR (DR),12,13,19,19,18,11030,DR
C SHIVAJI TERM MUMBAI (CSMT),7,9,13,13,13,11030,CSMT
PUNE JN (PUNE),0,0,1,1,2,11033,PUNE
DAUND CHORD LINE (DDCC),0,15,10,16,16,11033,DDCC
AHMADNAGAR (ANG),0,5,14,24,21,11033,ANG
BELAPUR (BAP),0,15,22,29,22,11033,BAP
KOPARGAON (KPG),0,32,35,36,27,11033,KPG
MANMAD JN (MMR),0,13,20,22,17,11033,MMR
BHUSAVAL JN (BSL),287,92,54,48,33,11033,BSL
KHANDWA (KNW),286,77,40,34,22,11033,KNW
ITARSI JN (ET),245,62,23,20,12,11033,ET
PIPARIYA (PPI),249,69,36,32,22,11033,PPI
NARSINGHPUR (NU),264,75,43,41,29,11033,NU
JABALPUR (JBP),302,93,56,48,38,11033,JBP
KATNI (KTE),317,109,80,68,58,11033,KTE
SATNA (STA),281,104,59,46,43,11033,STA
PRAYAGRAJ JN (PRYJ),307,119,71,76,49,11033,PRYJ
PRAYAGRAJ RAMBAGH (PRRB),302,120,70,75,55,11033,PRRB
GYANPUR ROAD (GYN),314,146,84,85,64,11033,GYN
BANARAS (BSBS),377,145,70,64,43,11033,BSBS
VARANASI JN (BSB),377,150,74,64,45,11033,BSB
VARANASI CITY (BCY),383,156,76,64,44,11033,BCY
AUNRIHAR JN (ARJ),382,157,79,67,47,11033,ARJ
GHAZIPUR CITY (GCT),387,156,80,66,48,11033,GCT
BALLIA (BUI),393,168,95,82,57,11033,BUI
CHHAPRA (CPR),345,120,68,53,37,11033,CPR
SONPUR JN (SEE),356,133,78,62,39,11033,SEE
HAJIPUR JN (HJP),354,130,74,59,37,11033,HJP
MUZAFFARPUR JN (MFP),370,143,84,68,48,11033,MFP
SAMASTIPUR JN (SPJ),328,101,53,39,25,11033,SPJ
LAHERIA SARAI (LSI),329,119,72,62,45,11033,LSI
DARBHANGA JN (DBG),317,110,67,55,39,11033,DBG
DARBHANGA JN (DBG),132,34,11,6,4,11034,DBG
LAHERIA SARAI (LSI),136,41,17,11,9,11034,LSI
SAMASTIPUR JN (SPJ),148,44,15,9,8,11034,SPJ
MUZAFFARPUR JN (MFP),206,81,43,34,26,11034,MFP
HAJIPUR JN (HJP),197,85,45,38,34,11034,HJP
SONPUR JN (SEE),204,92,52,49,45,11034,SEE
CHHAPRA (CPR),145,46,26,23,17,11034,CPR
BALLIA (BUI),136,41,30,28,21,11034,BUI
GHAZIPUR CITY (GCT),133,41,35,33,27,11034,GCT
AUNRIHAR JN (ARJ),128,33,24,22,22,11034,ARJ
VARANASI CITY (BCY),149,54,46,33,31,11034,BCY
VARANASI JN (BSB),155,55,43,29,28,11034,BSB
BANARAS (BSBS),170,62,51,37,33,11034,BSBS
GYANPUR ROAD (GYN),161,57,45,33,31,11034,GYN
PRAYAGRAJ RAMBAGH (PRRB),144,40,27,18,14,11034,PRRB
PRAYAGRAJ JN (PRYJ),137,68,48,36,29,11034,PRYJ
SATNA (STA),93,29,23,24,19,11034,STA
KATNI (KTE),106,41,36,39,38,11034,KTE
JABALPUR (JBP),105,47,50,48,47,11034,JBP
NARSINGHPUR (NU),107,56,63,62,58,11034,NU
PIPARIYA (PPI),119,59,66,65,65,11034,PPI
ITARSI JN (ET),161,53,55,53,51,11034,ET
KHANDWA (KNW),158,40,42,38,38,11034,KNW
BHUSAVAL JN (BSL),170,46,46,42,43,11034,BSL
MANMAD JN (MMR),227,74,64,60,65,11034,MMR
KOPARGAON (KPG),195,49,43,39,43,11034,KPG
BELAPUR (BAP),240,95,70,59,59,11034,BAP
AHMADNAGAR (ANG),283,114,81,66,63,11034,ANG
DAUND CHORD LINE (DDCC),240,73,43,39,41,11034,DDCC
PUNE JN (PUNE),243,81,45,44,41,11034,PUNE
DADAR (DR),0,0,1,1,9,11035,DR
KALYAN JN (KYN),15,22,22,20,29,11035,KYN
KARJAT (KJT),15,27,27,27,36,11035,KJT
PUNE JN (PUNE),22,17,20,23,33,11035,PUNE
SATARA (STR),22,11,18,18,29,11035,STR
KARAD (KRD),15,15,25,23,34,11035,KRD
SANGLI (SLI),11,23,29,25,32,11035,SLI
MIRAJ JN (MRJ),1,6,13,11,24,11035,MRJ
KUDACHI (KUD),4,11,18,17,30,11035,KUD
GHATPRABHA (GPB),4,12,21,19,32,11035,GPB
BELAGAVI (BGM),4,12,33,27,43,11035,BGM
